Name,State,y19,y18,y17,y16,y15,y14,y13,y12,y11,y10,y09,y08,y07,y06,y05,y04,y03,y02,y01,y00,y99,y98,y97,y96,y95,y94,y93,y92,y91,y90,y89,y88,y86,y84
Princeton University,NJ,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,4,1,1,2,2,2,2,2,4,4,2,2,4,4,4
Harvard University,MA,2,2,2,2,2,2,1,1,1,1,1,2,2,1,1,1,2,2,2,2,1,1,3,1,1,1,1,1,1,3,4,2,2,2
Yale University,CT,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,4,1,3,1,2,3,3,3,2,3,1,1,3,2,3
University of Chicago,IL,3,3,3,4,4,5,4,5,9,8,8,9,9,15,14,13,12,9,10,13,14,14,12,11,10,9,9,10,11,9,10,8,5,6
Columbia University,NY,3,5,5,4,4,4,4,4,4,8,8,9,9,9,9,11,10,9,10,10,10,9,11,15,9,11,10,9,10,11,8,18,,
Massachusetts Institute of Technology,MA,3,5,7,7,7,7,6,5,7,4,4,7,4,7,5,4,4,5,5,3,4,6,5,5,4,4,5,6,6,7,5,11,11,10
Stanford University,CA,7,5,5,4,4,5,6,5,5,4,4,4,4,5,5,5,4,5,6,6,4,5,6,4,5,6,4,3,2,6,6,1,1,1
University of Pennsylvania,PA,8,8,8,9,8,7,8,5,5,4,6,5,7,4,4,5,4,5,6,7,6,7,13,11,12,16,14,13,13,20,15,19,,
Duke University,NC,8,9,8,8,8,7,8,10,9,10,8,8,8,5,5,5,4,8,8,7,6,3,4,6,6,7,7,7,7,5,12,7,6,
Johns Hopkins University,MD,10,11,10,10,12,12,13,13,13,14,15,14,16,13,14,14,15,16,15,7,14,14,15,10,22,15,15,11,15,14,11,16,,
Northwestern University,IL,10,11,12,12,13,12,12,12,12,12,12,14,14,12,11,11,10,12,13,14,10,9,9,13,14,13,13,14,23,19,16,17,,
California Institute of Technology,CA,12,10,12,10,10,10,10,5,7,4,6,5,4,7,8,5,4,4,4,1,9,9,9,7,7,5,5,4,5,4,3,21,,12
Dartmouth College,NH,12,11,11,12,11,10,10,11,9,11,11,11,9,9,9,9,9,9,9,11,10,7,7,7,8,8,7,8,8,8,7,6,10,10
Brown University,RI,14,14,14,14,16,14,15,15,15,16,16,14,15,15,13,17,17,16,15,14,10,9,8,9,11,12,18,17,12,15,13,10,7,
Vanderbilt University,TN,14,14,15,15,16,17,17,17,17,17,18,19,18,18,18,19,21,21,22,20,20,19,20,22,18,20,25,19,,24,,,,
Cornell University,NY,16,14,15,15,15,16,15,15,15,15,14,12,12,13,14,14,14,14,10,11,6,14,14,13,15,10,11,12,9,11,14,11,,8
Rice University,TX,16,14,15,18,19,18,17,17,17,17,17,17,17,17,17,16,15,12,13,14,18,17,16,16,12,14,12,15,16,10,9,14,,
University of Notre Dame,IN,18,18,15,18,16,18,17,19,19,20,18,19,20,18,18,19,18,19,19,19,18,19,17,18,19,25,,,,23,18,,,
Washington University in St. Louis,MO,19,18,19,15,14,14,14,14,13,12,12,12,12,11,11,9,12,14,15,17,16,17,17,20,20,18,20,18,24,22,19,23,,
University of California-Los Angeles,CA,19,21,24,23,23,23,24,25,25,24,25,25,26,25,25,26,25,26,25,25,25,28,31,28,,22,23,23,17,16,21,,,
Emory University,GA,21,21,20,21,21,20,20,20,20,17,18,17,18,20,20,18,18,18,18,18,16,9,19,17,16,25,21,,,,22,25,,
Georgetown University,DC,22,20,20,21,21,20,21,22,21,23,23,23,23,23,25,23,24,22,23,23,20,21,23,21,25,17,17,19,19,25,17,,,
University of California-Berkeley,CA,22,21,20,20,20,20,21,21,22,21,21,21,21,20,21,21,20,20,20,20,22,23,27,26,23,19,16,16,13,13,24,5,7,5
University of Southern California,CA,22,21,23,23,25,23,24,23,23,26,27,27,27,30,30,30,31,34,35,42,41,41,43,44,,,,,,,,,,
Carnegie Mellon University,PA,25,25,24,23,25,23,23,23,23,22,22,22,21,22,22,23,21,22,23,23,25,23,28,23,24,24,19,24,22,,,,,13
University of Virginia,VA,25,25,24,26,23,23,24,25,25,24,23,23,24,23,22,21,23,24,20,22,22,21,21,19,17,21,22,21,18,21,20,15,11,
