Name,State,Year,rank
Princeton University,NJ,2000,4.0
Princeton University,NJ,2001,1.0
Princeton University,NJ,2002,1.0
Princeton University,NJ,2003,1.0
Princeton University,NJ,2004,1.0
Princeton University,NJ,2005,1.0
Princeton University,NJ,2006,1.0
Princeton University,NJ,2007,1.0
Princeton University,NJ,2008,1.0
Princeton University,NJ,2009,2.0
Princeton University,NJ,2010,1.0
Princeton University,NJ,2011,2.0
Princeton University,NJ,2012,1.0
Princeton University,NJ,2013,1.0
Princeton University,NJ,2014,1.0
Princeton University,NJ,2015,1.0
Princeton University,NJ,2016,1.0
Princeton University,NJ,2017,1.0
Princeton University,NJ,2018,1.0
Princeton University,NJ,1984,4.0
Princeton University,NJ,1986,4.0
Princeton University,NJ,1988,4.0
Princeton University,NJ,1989,2.0
Princeton University,NJ,1990,2.0
Princeton University,NJ,1991,4.0
Princeton University,NJ,1992,4.0
Princeton University,NJ,1993,2.0
Princeton University,NJ,1994,2.0
Princeton University,NJ,1995,2.0
Princeton University,NJ,1996,2.0
Princeton University,NJ,1997,2.0
Princeton University,NJ,1998,1.0
Harvard University,MA,2000,2.0
Harvard University,MA,2001,2.0
Harvard University,MA,2002,2.0
Harvard University,MA,2003,2.0
Harvard University,MA,2004,1.0
Harvard University,MA,2005,1.0
Harvard University,MA,2006,1.0
Harvard University,MA,2007,2.0
Harvard University,MA,2008,2.0
Harvard University,MA,2009,1.0
Harvard University,MA,2010,1.0
Harvard University,MA,2011,1.0
Harvard University,MA,2012,1.0
Harvard University,MA,2013,1.0
Harvard University,MA,2014,2.0
Harvard University,MA,2015,2.0
Harvard University,MA,2016,2.0
Harvard University,MA,2017,2.0
Harvard University,MA,2018,2.0
Harvard University,MA,1984,2.0
Harvard University,MA,1986,2.0
Harvard University,MA,1988,2.0
Harvard University,MA,1989,4.0
Harvard University,MA,1990,3.0
Harvard University,MA,1991,1.0
Harvard University,MA,1992,1.0
Harvard University,MA,1993,1.0
Harvard University,MA,1994,1.0
Harvard University,MA,1995,1.0
Harvard University,MA,1996,1.0
Harvard University,MA,1997,3.0
Harvard University,MA,1998,1.0
Yale University,CT,2000,4.0
Yale University,CT,2001,2.0
Yale University,CT,2002,2.0
Yale University,CT,2003,2.0
Yale University,CT,2004,3.0
Yale University,CT,2005,3.0
Yale University,CT,2006,3.0
Yale University,CT,2007,3.0
Yale University,CT,2008,3.0
Yale University,CT,2009,3.0
Yale University,CT,2010,3.0
Yale University,CT,2011,3.0
Yale University,CT,2012,3.0
Yale University,CT,2013,3.0
Yale University,CT,2014,3.0
Yale University,CT,2015,3.0
Yale University,CT,2016,3.0
Yale University,CT,2017,3.0
Yale University,CT,2018,3.0
Yale University,CT,1984,3.0
Yale University,CT,1986,2.0
Yale University,CT,1988,3.0
Yale University,CT,1989,1.0
Yale University,CT,1990,1.0
Yale University,CT,1991,3.0
Yale University,CT,1992,2.0
Yale University,CT,1993,3.0
Yale University,CT,1994,3.0
Yale University,CT,1995,3.0
Yale University,CT,1996,2.0
Yale University,CT,1997,1.0
Yale University,CT,1998,3.0
University of Chicago,IL,2000,13.0
University of Chicago,IL,2001,10.0
University of Chicago,IL,2002,9.0
University of Chicago,IL,2003,12.0
University of Chicago,IL,2004,13.0
University of Chicago,IL,2005,14.0
University of Chicago,IL,2006,15.0
University of Chicago,IL,2007,9.0
University of Chicago,IL,2008,9.0
University of Chicago,IL,2009,8.0
University of Chicago,IL,2010,8.0
University of Chicago,IL,2011,9.0
University of Chicago,IL,2012,5.0
University of Chicago,IL,2013,4.0
University of Chicago,IL,2014,5.0
University of Chicago,IL,2015,4.0
University of Chicago,IL,2016,4.0
University of Chicago,IL,2017,3.0
University of Chicago,IL,2018,3.0
University of Chicago,IL,1984,6.0
University of Chicago,IL,1986,5.0
University of Chicago,IL,1988,8.0
University of Chicago,IL,1989,10.0
University of Chicago,IL,1990,9.0
University of Chicago,IL,1991,11.0
University of Chicago,IL,1992,10.0
University of Chicago,IL,1993,9.0
University of Chicago,IL,1994,9.0
University of Chicago,IL,1995,10.0
University of Chicago,IL,1996,11.0
University of Chicago,IL,1997,12.0
University of Chicago,IL,1998,14.0
Columbia University,NY,2000,10.0
Columbia University,NY,2001,10.0
Columbia University,NY,2002,9.0
Columbia University,NY,2003,10.0
Columbia University,NY,2004,11.0
Columbia University,NY,2005,9.0
Columbia University,NY,2006,9.0
Columbia University,NY,2007,9.0
Columbia University,NY,2008,9.0
Columbia University,NY,2009,8.0
Columbia University,NY,2010,8.0
Columbia University,NY,2011,4.0
Columbia University,NY,2012,4.0
Columbia University,NY,2013,4.0
Columbia University,NY,2014,4.0
Columbia University,NY,2015,4.0
Columbia University,NY,2016,4.0
Columbia University,NY,2017,5.0
Columbia University,NY,2018,5.0
Columbia University,NY,1984,
Columbia University,NY,1986,
Columbia University,NY,1988,18.0
Columbia University,NY,1989,8.0
Columbia University,NY,1990,11.0
Columbia University,NY,1991,10.0
Columbia University,NY,1992,9.0
Columbia University,NY,1993,10.0
Columbia University,NY,1994,11.0
Columbia University,NY,1995,9.0
Columbia University,NY,1996,15.0
Columbia University,NY,1997,11.0
Columbia University,NY,1998,9.0
Massachusetts Institute of Technology,MA,2000,3.0
Massachusetts Institute of Technology,MA,2001,5.0
Massachusetts Institute of Technology,MA,2002,5.0
Massachusetts Institute of Technology,MA,2003,4.0
Massachusetts Institute of Technology,MA,2004,4.0
Massachusetts Institute of Technology,MA,2005,5.0
Massachusetts Institute of Technology,MA,2006,7.0
Massachusetts Institute of Technology,MA,2007,4.0
Massachusetts Institute of Technology,MA,2008,7.0
Massachusetts Institute of Technology,MA,2009,4.0
Massachusetts Institute of Technology,MA,2010,4.0
Massachusetts Institute of Technology,MA,2011,7.0
Massachusetts Institute of Technology,MA,2012,5.0
Massachusetts Institute of Technology,MA,2013,6.0
Massachusetts Institute of Technology,MA,2014,7.0
Massachusetts Institute of Technology,MA,2015,7.0
Massachusetts Institute of Technology,MA,2016,7.0
Massachusetts Institute of Technology,MA,2017,7.0
Massachusetts Institute of Technology,MA,2018,5.0
Massachusetts Institute of Technology,MA,1984,10.0
Massachusetts Institute of Technology,MA,1986,11.0
Massachusetts Institute of Technology,MA,1988,11.0
Massachusetts Institute of Technology,MA,1989,5.0
Massachusetts Institute of Technology,MA,1990,7.0
Massachusetts Institute of Technology,MA,1991,6.0
Massachusetts Institute of Technology,MA,1992,6.0
Massachusetts Institute of Technology,MA,1993,5.0
Massachusetts Institute of Technology,MA,1994,4.0
Massachusetts Institute of Technology,MA,1995,4.0
Massachusetts Institute of Technology,MA,1996,5.0
Massachusetts Institute of Technology,MA,1997,5.0
Massachusetts Institute of Technology,MA,1998,6.0
Stanford University,CA,2000,6.0
Stanford University,CA,2001,6.0
Stanford University,CA,2002,5.0
Stanford University,CA,2003,4.0
Stanford University,CA,2004,5.0
Stanford University,CA,2005,5.0
Stanford University,CA,2006,5.0
Stanford University,CA,2007,4.0
Stanford University,CA,2008,4.0
Stanford University,CA,2009,4.0
Stanford University,CA,2010,4.0
Stanford University,CA,2011,5.0
Stanford University,CA,2012,5.0
Stanford University,CA,2013,6.0
Stanford University,CA,2014,5.0
Stanford University,CA,2015,4.0
Stanford University,CA,2016,4.0
Stanford University,CA,2017,5.0
Stanford University,CA,2018,5.0
Stanford University,CA,1984,1.0
Stanford University,CA,1986,1.0
Stanford University,CA,1988,1.0
Stanford University,CA,1989,6.0
Stanford University,CA,1990,6.0
Stanford University,CA,1991,2.0
Stanford University,CA,1992,3.0
Stanford University,CA,1993,4.0
Stanford University,CA,1994,6.0
Stanford University,CA,1995,5.0
Stanford University,CA,1996,4.0
Stanford University,CA,1997,6.0
Stanford University,CA,1998,5.0
University of Pennsylvania,PA,2000,7.0
University of Pennsylvania,PA,2001,6.0
University of Pennsylvania,PA,2002,5.0
University of Pennsylvania,PA,2003,4.0
University of Pennsylvania,PA,2004,5.0
University of Pennsylvania,PA,2005,4.0
University of Pennsylvania,PA,2006,4.0
University of Pennsylvania,PA,2007,7.0
University of Pennsylvania,PA,2008,5.0
University of Pennsylvania,PA,2009,6.0
University of Pennsylvania,PA,2010,4.0
University of Pennsylvania,PA,2011,5.0
University of Pennsylvania,PA,2012,5.0
University of Pennsylvania,PA,2013,8.0
University of Pennsylvania,PA,2014,7.0
University of Pennsylvania,PA,2015,8.0
University of Pennsylvania,PA,2016,9.0
University of Pennsylvania,PA,2017,8.0
University of Pennsylvania,PA,2018,8.0
University of Pennsylvania,PA,1984,
University of Pennsylvania,PA,1986,
University of Pennsylvania,PA,1988,19.0
University of Pennsylvania,PA,1989,15.0
University of Pennsylvania,PA,1990,20.0
University of Pennsylvania,PA,1991,13.0
University of Pennsylvania,PA,1992,13.0
University of Pennsylvania,PA,1993,14.0
University of Pennsylvania,PA,1994,16.0
University of Pennsylvania,PA,1995,12.0
University of Pennsylvania,PA,1996,11.0
University of Pennsylvania,PA,1997,13.0
University of Pennsylvania,PA,1998,7.0
Duke University,NC,2000,7.0
